Job_Name,Company,Loaction,Job_type,Employees,Followers,Applicant,Industry,Invovlement,Job_Desception,skills
"Urgent Openings for the position of MIS Associate at Ghodbunder Road, Thane",Catalyst Corporate Services Pvt. Ltd.,"Mumbai, Maharashtra, India",On-site,"501-1,000 employees",82 on LinkedIn,2 applicants,"Outsourcing/Offshoring 501-1,000 employees 82 on LinkedIn",Full-time,"['Dear candidate,Our company is involved in providing corporate services in different areas. Our company is a 30 yrs old established company, with a team size of approximately 1000 persons, promoted by experienced professionals working with number of well-known companies.Job DescriptionVery good in advanced excel and MIS Reporting.Designation: MIS ExecutiveEducation: - GraduateJob Location: - Thane, Teen Hath NakaWorking Days: Monday to SaturdayOffice Timings: 9:30 AM to 6:30 PMIf you are interested, then please send us your updated Cv in word format please fill the required details:Total work Exp-Relevant ExpNotice Period-Current CTCRegardsRashmi TambutkarSenior HR ExecutiveCatalyst Corporate Services Pvt. Ltd.Cell No.: 9004944874careers1@catserv.inThis job is provided by Shine.comDesired Skills and Experience""mis executive"", ""mis operations"", ""mis reporting""']",CommunicationMicrosoft ExcelCybersecurityAddDatabasesAddGeographic Information Systems (GIS)AddInformation SecurityAddMIS ReportingAddManagement Information Systems (MIS)AddTeam LeadershipAddTeamworkAdd
Human Resources (HR) Internship in Noida at Reliable Allied Services,Reliable Allied Services,"Noida, Uttar Pradesh, India",On-site,11-50 employees,95 on LinkedIn,26 applicants,Management Consulting 11-50 employees 95 on LinkedIn,Full-time · Internship,"['', '', '', '', '', '', '', '', '', '', '']",CommunicationBusiness CommunicationsAddEmployee RelationsAddHR ManagementAddHR PoliciesAddHuman Resources (HR)AddPersonnel ManagementAddResource ManagementAddShortlistingAddTalent ManagementAdd
Assistant Manager - Human Resources,Fairfield Inn & Suites by Marriott,"Chennai, Tamil Nadu, India",Hybrid,"5,001-10,000 employees","3,996 on LinkedIn",175 applicants,"Hospitality 5,001-10,000 employees 3,996 on LinkedIn",Full-time · Mid-Senior level,"['High school diploma or GED; 2 years experience in the human resources, management operations, or related professional area.', '2-year degree from an accredited university in Human Resources, Business Administration, or related major; no work experience required.', 'Assists in the interviewing and hiring of Human Resource employee team members with the appropriate skills, as needed.', 'Assists in establishing and maintains contact with external recruitment sources.', 'Attends job fairs and ensures documentation of outreach efforts in accordance with Human Resource Standard Operating Procedures.', 'Networks with local organizations (e.g., Hotel Association and peers) to source candidates for current or future openings.', 'Assists in monitoring candidate identification and selection process.', 'Performs quality control on candidate identification/selection.', 'Works with the unemployment services provider to respond to unemployment claims; reviews provider reports for accuracy and corrects errors.', 'Assists with unemployment claim activity reports.', 'Attends unemployment hearings and ensures property is properly represented, as needed.', 'Assists with departmental orientation program for employees to receive the appropriate new hire training to successfully perform their job.', 'Ensures employees are cross-trained to support successful daily operations.', 'Assists with coordination and facilitation of new hire orientation program to generate a positive first impression for employees and emphasize the importance of guest service in company culture.', 'Ensures attendance by all new hires and participation of the leadership team in training programs', 'Assists with ensuring departmental orientation processes are in place and employees receive the appropriate new hire training to successfully perform their job.', 'Assists in maintaining effective employee communication channels in the property (e.g., develops daily communications and assists with regularly scheduled property-wide meetings).', 'Reviews progressive discipline documentation for accuracy and consistency, and checks for supportive documentation and is accountable for determining appropriate action.', 'Utilizes an “open door” policy to acknowledge employee problems or concerns in a timely manner', 'Ensures employee issues are referred to the Department Manager for resolution or escalated to the Director of Human Resources/Multi-Property Director of Human Resources.', 'Partners with Loss Prevention to conduct employee accident investigations, as necessary.', 'Communicates performance expectations in accordance with job descriptions for each position.', 'Assists with ensuring employee files contain required employment paperwork, proper performance management and compensation documentation, are properly maintained and secured for the required length of time.', 'Assists with ensuring compliance with procedure for accessing, reviewing, and auditing employee files and ensure compliance with the Privacy Act.', 'Assists with ensuring medical records are maintained in a separate, secure and confidential medical file.', 'Facilitates random, reasonable belief and post accident drug testing process (in properties where applicable).', 'Communicates property rules and regulations via the employee handbook.', 'Assists with ensuring all safety and security policies (e.g., property removal, lost and found items, blood borne pathogens, accident reporting, and hygiene) are communicated to employees on a regular basis through orientation, property meetings, bulletin boards, etc.', 'Assists with periodic claims reviews with Regional Claims office to ensure claims are closed in a timely manner and reserve levels are appropriate for open claims.', 'Assists with managing Workers Compensation claims to ensure appropriate employee care and manage costs.']",Compensation ManagementAddEmployee FilesAddEmployee Learning & DevelopmentAddEmployee RelationsAddHR OperationsAddHR PoliciesAddHuman Resources (HR)AddLabor RelationsAddNew HiresAddPerformance ManagementAdd
Immigration Consultant,Grades Global Immigration Services Limited,"Delhi, Delhi, India",On-site,11-50 employees,12 on LinkedIn,7 applicants,Outsourcing/Offshoring 11-50 employees 12 on LinkedIn,Full-time · Mid-Senior level,"['We Are Hiring Immigration Consultants.Designation: Immigration Consultant (Sales)Current Openings: 5Qualification: Graduation (Any stream)Experience: Min. 0-2 YearsLocations: Nehru Place, New DelhiContact @: #Mobile: 8800149591, #Email: info@gradesglobal.comThis job is provided by Shine.com""visa counselling"", ""consultative selling"", target, counselling, sales, immigration']",CommunicationBusiness VisasAddCanadian Immigration LawAddGlobal ImmigrationAddImmigrationAddImmigration IssuesAddImmigration LawAddImmigration PolicyAddTeamworkAddVisasAdd
Job openings for branch sales officer in gwalior indore,assured job,"Gwalior, Madhya Pradesh, India",On-site,Null,Null,Null,Human Resources,Full-time · Entry level,"['', '', '', '', '', '', '', '']",ATMsAddCold CallingAddCustomer SatisfactionAddCustomer ServiceAddDematAddDirect SalesAddLead GenerationAddSalesAddSales & MarketingAddSales OperationsAdd
Senior Data Management Analyst,Wells Fargo,"Bengaluru, Karnataka, India",On-site,"10,001+ employees","206,991 on LinkedIn",10 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['Lead programs, initiatives for data quality, governance, and metadata activities', 'Design and conduct complex analysis to identify and remediate data quality or integrity issues and to identify and remediate process or control gaps', 'Analyze, assess, and test data controls and data systems to ensure quality and risk compliance standards are met', 'Adhere to data governance standards and procedures', 'Develop recommendations for optimal approaches to resolve data quality issues', 'Develop and implement plans for assessing the quality of new data sources', 'Lead project teams and mentor less experienced staff members', 'Leverage domain expertise and data, business, or process analysis to inform and support solution design', 'Consult with clients to assess the current state of data and metadata quality within area of assigned responsibility', 'Participate in cross-functional groups perform data analysis and identify data gaps', 'to develop companywide data governance strategies', 'Provide input into communication routines with stakeholders, business partners, and experienced leaders', '6 to 8 years of Data Management, Business Analysis, Analytics experience', 'Good experience in Oracle database.', 'Proficient and thoroughly experienced in Oracle SQL and PL/SQL skills.', 'Exposure and experience in Dimensional model', 'Data Warehouse Expertise (expert needed)', 'Data Vault Expertise (highly desired, good to have)', 'Ability to define, conduct and record data quality tests for', 'Data ingestion from DISHR (access to source files)', 'Data Conformance to ensure fidelity to SOR values and EDQ standards', 'Data loss, data explosion, data survivorship', 'Account for batch latency and understand how batch parameters are used for point-in-time integrity', 'Data Profiling', 'Validating and critically reviewing metadata is reflective of approved results/ relevant to target deliver']",CommunicationData AnalyticsData ManagementData VisualizationBusiness AnalysisAddData GovernanceAddData ProfilingAddData QualityAddDatabasesAddEnterprise Solution DesignAdd
Urgent Openings for Customer Care Executive at Ghodbunder Road Thane,Catalyst Corporate Services Pvt Ltd,"Mumbai, Maharashtra, India",On-site,51-200 employees,34 on LinkedIn,6 applicants,Financial Services 51-200 employees 34 on LinkedIn,Full-time · Mid-Senior level,"['Company: Catalyst Corporate Services Pvt. Ltd.Designation: Customer Care ExecutiveLocation: Ghodbunder Road, ThaneCompany ProfileOur company is involved in providing corporate services in different areas. Our company is a 30 yrs old established company, with a team size of approximately 1000 persons, promoted by experienced professionals working with number of well-known companies.Job DescriptionLooking for the candidate with Customer Care experience of at least 1-2 years or freshers also will do.Qualifications: Any GraduateWorking Days: Monday to SaturdayWorking Timings: 9:30 am to 6:30 pmJob Location: - Ghodbunder Road, Thane (Pick up and drop facility available)If you are interested, then please send us your updated Cv in word format please fill the required details:Total work Exp-Relevant ExpNotice Period-Current CTCExpected CTCCurrent LocationRegardsRashmi TambutkarSenior HR ExecutiveCatalyst Corporate Services Pvt. Ltd.Cell No.: 9004944874careers1@catserv.inwww.catserv.inThis job is provided by Shine.comDesired Skills and Experience""customer care executive"", ""customer support"", ""back office operations""']",Business Process Outsourcing (BPO)AddCCEAddCTCAddContact CentersAddCustomer SatisfactionAddCustomer ServiceAddCustomer SupportAddHuman Resources (HR)AddInbound MarketingAddInterpersonal SkillsAdd
Sr Infrastructure Engineer,Wells Fargo,"Hyderabad, Telangana, India",On-site,"10,001+ employees","206,991 on LinkedIn",10 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['Lead or participate in high level technical concepts spanning technology and business', '', '', '', '', '', '', '', '', '', '', '', '']",CommunicationCloud ComputingAddCloud InfrastructureAddCritical ThinkingAddITILAddMiddlewareAddScriptingAddSystem AdministrationAddTroubleshootingAddWritten CommunicationAdd
Senior Software Engineer,Wells Fargo,"Bengaluru, Karnataka, India",Hybrid,"10,001+ employees","206,991 on LinkedIn",9 applicants,"Financial Services 10,001+ employees 206,991 on LinkedIn",Full-time · Mid-Senior level,"['Position Overview', 'Design, write and build application for the Android platform.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",Android JetpackAddCode ReviewAddComputer ScienceAddDependency ManagementAddInterfacesAddParallel ComputingAddProgrammingAddReactive ProgrammingAddSoftware DevelopmentAddUser Interface DesignAdd
SSIS/SSRS Developer,IDESLABS PRIVATE LIMITED,"Hyderabad, Telangana, India",On-site,51-200 employees,102 on LinkedIn,2 applicants,Information Technology & Services 51-200 employees 102 on LinkedIn,Full-time · Entry level,"['Greetings from IDESLABS,This is Krishna We have Immediate Openings on "" SSIS/SSRS Developer "" For Client WIPRO BANGALORE LocationJob DetailsSkill: SSIS/SSRS DeveloperExperience: 7+ YearsLocation: - BANGALORENotice Period: Immediate JoinersEmployee type: C2HPlease Share your Updated CV\'s : careers@ideslabs.comSpocSandeep: sandeep.p@ideslabs.comSwarna: swarna.g@ideslabs.comArun: arun.vangari@ideslabs.comJob DescriptionHave 8+ years of experience as SSIS/SSRS Developer.Experience in design & development and deploying reports in MS SQL Server environment using SSRS and SSIS in Business Intelligence Development Studio (BIDS).Experience in different kinds of reports like canned, ad-hoc reports for the State and Local Agency users.Experience in SSIS Migration Project, SSIS packages, Performance tuning of TSQL queries and Stored Procedures ,T-SQL statements for retrieval of data and Involved in performance tuning of TSQL.Advanced knowledge of software development lifecycle.Demonstrated ability to coordinate cross-functional work teams toward task completion.Demonstrated effective leadership and analytical skills.Advanced written and verbal communication skills are a must.If you are interested, Please Share below details and Updated ResumeJob Description MatchedFirst Name:Last NameDate of Birth:Alternate Contact NumberPass Port No and Expiry Date (Mandatory ) :Total ExperienceRelevant Experience:Current CTCExpected CTC:Current Location:Preferred LocationCurrent OrganizationPayroll Company:Notice PeriodHolding any offer:RegardsIDESLABS - Consulting Services']",Microsoft SQL ServerSQLCommunication TrainingAddOral CommunicationAddPerformance TuningAddSQL Server Integration Services (SSIS)AddSQL Server Reporting Services (SSRS)AddSoftware DevelopmentAddStored ProceduresAddTask CompletionAdd
